Deck Name,Card 0,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Games Played
Cube Warlock,Dark Pact ×2,Kobold Librarian ×2,Defile ×2,Doomsayer ×2,Prince Taldaram ★,Hellfire ×2,Lesser Amethyst Spellstone ×2,Spiritsinger Umbra ★,Carnivorous Cube ×2,Doomguard ×2,Faceless Manipulator,Giggling Inventor ×2,Skull of the Man'ari ★,Possessed Lackey ×2,Lord Godfrey ★,Voidlord ×2,Bloodreaver Gul'dan ★,Mountain Giant ×2,,,,,,,,,,,,,"11,000"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Blood Knight,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Despicable Dreadlord,Doomguard ×2,Fungalmancer ×2,,,,,,,,,,,,,,"10,000"
Even Warlock,Acidic Swamp Ooze,Defile ×2,Plated Beetle ×2,Spirit Bomb,Sunfury Protector,Vulgar Homunculus ×2,Hellfire ×2,Hooked Reaver ×2,Lesser Amethyst Spellstone ×2,Shadowflame,Shroom Brewer ×2,Spellbreaker,Twilight Drake ×2,Dread Infernal,Genn Greymane ★,Mossy Horror,"Rin, the First Disciple ★",Skulking Geist,The Lich King ★,Bloodreaver Gul'dan ★,Mountain Giant ×2,,,,,,,,,,"10,000"
Zoo Warlock,Crystallizer ×2,Flame Imp ×2,Kobold Librarian ×2,Soul Infusion ×2,The Soularium ★,Voidwalker ×2,Demonfire ×2,Void Analyst ×2,Vulgar Homunculus ×2,Doubling Imp ×2,Nethersoul Buster ×2,Saronite Chain Gang ×2,Despicable Dreadlord ×2,Doomguard ×2,Ectomancy ×2,Bloodreaver Gul'dan ★,,,,,,,,,,,,,,,"10,000"
Even Warlock,Acidic Swamp Ooze ×2,Defile ×2,Doomsayer ×2,Sunfury Protector,Vulgar Homunculus ×2,Hellfire ×2,Hooked Reaver ×2,Lesser Amethyst Spellstone ×2,Shroom Brewer ×2,Spellbreaker ×2,Twilight Drake ×2,Dread Infernal ×2,Genn Greymane ★,Mossy Horror,Skulking Geist,The Lich King ★,Bloodreaver Gul'dan ★,Mountain Giant ×2,,,,,,,,,,,,,"9,500"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker ×2,Saronite Chain Gang ×2,Doomguard ×2,Fungalmancer ×2,Leeroy Jenkins ★,,,,,,,,,,,,,,,"9,200"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Blood Knight,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Saronite Chain Gang ×2,Despicable Dreadlord,Doomguard ×2,Fungalmancer ×2,,,,,,,,,,,,,,"9,200"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Fungal Enchanter ×2,Happy Ghoul ×2,Tar Creeper ×2,Hellfire,Lifedrinker ×2,Saronite Chain Gang ×2,Spellbreaker ×2,Despicable Dreadlord ×2,Fungalmancer ×2,,,,,,,,,,,,,,,"9,000"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Saronite Chain Gang ×2,Shroom Brewer ×2,Fungalmancer ×2,Giggling Inventor,Leeroy Jenkins ★,,,,,,,,,,,,,,"7,600"
Even Warlock,Acidic Swamp Ooze,Defile ×2,Doomsayer ×2,Sunfury Protector ×2,Vulgar Homunculus ×2,Hellfire ×2,Hooked Reaver ×2,Lesser Amethyst Spellstone ×2,Shroom Brewer ×2,Spellbreaker ×2,Twilight Drake ×2,Dread Infernal,Genn Greymane ★,Mossy Horror,Skulking Geist,The Black Knight ★,The Lich King ★,Bloodreaver Gul'dan ★,Mountain Giant ×2,,,,,,,,,,,,"7,200"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker ×2,Saronite Chain Gang ×2,Doomguard,Fungalmancer ×2,Leeroy Jenkins ★,,,,,,,,,,,,,,"6,900"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Despicable Dreadlord,Doomguard ×2,Fungalmancer ×2,Mossy Horror,,,,,,,,,,,,,"6,800"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker ×2,Saronite Chain Gang ×2,Despicable Dreadlord ×2,Fungalmancer ×2,Leeroy Jenkins ★,,,,,,,,,,,,,,,"6,800"
Even Warlock,Acidic Swamp Ooze,Defile ×2,Doomsayer ×2,Plated Beetle,Sunfury Protector ×2,Vulgar Homunculus ×2,Hellfire ×2,Hooked Reaver ×2,Lesser Amethyst Spellstone ×2,Shadowflame,Shroom Brewer ×2,Spellbreaker,Twilight Drake ×2,Dread Infernal,Genn Greymane ★,Mossy Horror,Skulking Geist,The Lich King ★,Bloodreaver Gul'dan ★,Mountain Giant ×2,,,,,,,,,,,"6,500"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Spellbreaker,Despicable Dreadlord,Doomguard ×2,Fungalmancer ×2,,,,,,,,,,,,,,"6,400"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Despicable Dreadlord ×2,Doomguard,Fungalmancer ×2,,,,,,,,,,,,,,"6,300"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker ×2,Saronite Chain Gang ×2,Fungalmancer ×2,Giggling Inventor,Leeroy Jenkins ★,,,,,,,,,,,,,,"6,100"
Even Warlock,Sacrificial Pact,Defile ×2,Demonic Project,Doomsayer ×2,Sunfury Protector ×2,Vulgar Homunculus ×2,Hellfire ×2,Hooked Reaver ×2,Lesser Amethyst Spellstone ×2,Shroom Brewer ×2,Spellbreaker ×2,Twilight Drake ×2,Dread Infernal,Genn Greymane ★,Mossy Horror,Siphon Soul,The Lich King ★,Bloodreaver Gul'dan ★,Mountain Giant ×2,,,,,,,,,,,,"5,900"
Even Warlock,Acidic Swamp Ooze,Defile ×2,Plated Beetle ×2,Sunfury Protector ×2,Vulgar Homunculus ×2,Hellfire ×2,Hooked Reaver ×2,Lesser Amethyst Spellstone ×2,Shroom Brewer ×2,Spellbreaker ×2,Twilight Drake ×2,Dread Infernal ×2,Genn Greymane ★,Mossy Horror,Skulking Geist,The Lich King ★,Bloodreaver Gul'dan ★,Mountain Giant ×2,,,,,,,,,,,,,"5,900"
Even Warlock,Acidic Swamp Ooze,Defile ×2,Demonic Project ×2,Plated Beetle ×2,Sunfury Protector,Vulgar Homunculus ×2,Hellfire ×2,Hooked Reaver ×2,Lesser Amethyst Spellstone ×2,Shroom Brewer ×2,Spellbreaker,Twilight Drake ×2,Dread Infernal,Genn Greymane ★,Mossy Horror,Skulking Geist,Bonemare,The Lich King ★,Bloodreaver Gul'dan ★,Mountain Giant ×2,,,,,,,,,,,"5,900"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Blood Knight,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Doomguard ×2,Fungalmancer ×2,,,,,,,,,,,,,,"5,800"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Demonfire ×2,Vulgar Homunculus ×2,Earthen Ring Farseer,Fungal Enchanter ×2,Happy Ghoul ×2,Shroom Brewer,Spellbreaker ×2,Despicable Dreadlord ×2,Doomguard,Fungalmancer ×2,Reckless Rocketeer,,,,,,,,,,,,,,"5,700"
Even Warlock,Acidic Swamp Ooze,Defile ×2,Plated Beetle ×2,Sunfury Protector ×2,Vulgar Homunculus ×2,Hellfire ×2,Hooked Reaver ×2,Lesser Amethyst Spellstone ×2,Shroom Brewer ×2,Spellbreaker,Twilight Drake ×2,Dread Infernal ×2,Genn Greymane ★,Mossy Horror,Skulking Geist,Bonemare,The Lich King ★,Bloodreaver Gul'dan ★,Mountain Giant ×2,,,,,,,,,,,,"5,600"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Blood Knight,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Despicable Dreadlord,Fungalmancer ×2,Leeroy Jenkins ★,,,,,,,,,,,,,"5,600"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Despicable Dreadlord,Doomguard,Fungalmancer ×2,Mossy Horror,,,,,,,,,,,,,"5,600"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Saronite Chain Gang ×2,Despicable Dreadlord ×2,Doomguard ×2,Fungalmancer ×2,,,,,,,,,,,,,,,"5,500"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,The Soularium ★,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Despicable Dreadlord,Doomguard,Fungalmancer ×2,Leeroy Jenkins ★,,,,,,,,,,,,,"5,300"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Despicable Dreadlord ×2,Doomguard ×2,Fungalmancer ×2,,,,,,,,,,,,,,,"5,200"
Even Warlock,Sacrificial Pact,Defile ×2,Demonic Project ×2,Doomsayer,Sunfury Protector,Vulgar Homunculus ×2,Hellfire ×2,Hooked Reaver ×2,Lesser Amethyst Spellstone ×2,Shadowflame,Shroom Brewer ×2,Spellbreaker,Twilight Drake ×2,Dread Infernal,Genn Greymane ★,Mossy Horror,Siphon Soul,Skulking Geist,The Lich King ★,Bloodreaver Gul'dan ★,Mountain Giant ×2,,,,,,,,,,"5,100"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker ×2,Saronite Chain Gang ×2,Doomguard ×2,Fungalmancer ×2,Mossy Horror,,,,,,,,,,,,,,,"4,900"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Fungal Enchanter ×2,Happy Ghoul ×2,Tar Creeper ×2,Lifedrinker ×2,Saronite Chain Gang ×2,Spellbreaker ×2,Despicable Dreadlord ×2,Doomguard,Fungalmancer ×2,,,,,,,,,,,,,,,"4,800"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Despicable Dreadlord ×2,Fungalmancer ×2,Leeroy Jenkins ★,Mossy Horror,,,,,,,,,,,,,,"4,800"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soul Infusion ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Doubling Imp ×2,Fungal Enchanter ×2,Happy Ghoul ×2,Lifedrinker,Saronite Chain Gang ×2,Despicable Dreadlord,Doomguard ×2,Fungalmancer ×2,Mossy Horror,,,,,,,,,,,,,,"4,600"
Zoo Warlock,Flame Imp ×2,Kobold Librarian ×2,Lightwarden ×2,Soulfire ×2,Voidwalker ×2,Voodoo Doctor ×2,Prince Keleseth ★,Fungal Enchanter ×2,Happy Ghoul ×2,Tar Creeper ×2,Void Ripper,Lifedrinker ×2,Saronite Chain Gang ×2,Despicable Dreadlord ×2,Doomguard ×2,Fungalmancer ×2,,,,,,,,,,,,,,,"4,600"
Control Warlock,Kobold Librarian ×2,Defile ×2,Demonic Project ×2,Gnomeferatu ×2,Gluttonous Ooze,Stonehill Defender ×2,Hellfire ×2,Lesser Amethyst Spellstone ×2,Shroom Brewer ×2,Despicable Dreadlord ×2,Giggling Inventor ×2,Skull of the Man'ari ★,Siphon Soul,Skulking Geist,Lord Godfrey ★,Twisting Nether ×2,Voidlord ×2,Bloodreaver Gul'dan ★,,,,,,,,,,,,,"4,600"
