Deck Name,Card 0,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Games Played
Taunt Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Wrath,Witching Hour ×2,Branching Paths ×2,Ironwood Golem ×2,Oaken Summons ×2,Swipe ×2,Carnivorous Cube ×2,Nourish ×2,Primordial Drake ×2,The Lich King ★,Dragonhatcher ×2,Hadronox ★,Master Oakheart ★,Sleepy Dragon ×2,,,,,,,,,,,,,,"21,000"
Mill Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Wrath ×2,Ferocious Howl ×2,Branching Paths ×2,Ironwood Golem ×2,Oaken Summons ×2,Swipe ×2,Arcane Tyrant ×2,Nourish ×2,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Ultimate Infestation ×2,,,,,,,,,,,,,,"17,000"
Token Druid,Lesser Jasper Spellstone ×2,Power of the Wild,Wild Growth ×2,Savage Roar ×2,Branching Paths ×2,Flobbidinous Floop ★,Saronite Chain Gang ×2,Soul of the Forest ×2,Strongshell Scavenger,Swipe ×2,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Ultimate Infestation ×2,,,,,,,,,,,,,,"17,000"
Token Druid,Lesser Jasper Spellstone ×2,Power of the Wild,Wild Growth ×2,Savage Roar ×2,Branching Paths ×2,Saronite Chain Gang ×2,Soul of the Forest ×2,Strongshell Scavenger ×2,Swipe ×2,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Ultimate Infestation ×2,,,,,,,,,,,,,,,"16,000"
Malygos Druid,Innervate,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Branching Paths ×2,Flobbidinous Floop ★,Juicy Psychmelon,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Malygos ★,Mecha'thun ★,Ultimate Infestation,,,,,,,,,,,"15,000"
Mill Druid,Innervate,Lesser Jasper Spellstone ×2,Naturalize ×2,Bloodmage Thalnos ★,Wild Growth ×2,Ferocious Howl ×2,Mind Control Tech ×2,Branching Paths ×2,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Starfall,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Ultimate Infestation ×2,,,,,,,,,,,,"15,000"
Mill Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Wrath,Ferocious Howl ×2,Branching Paths ×2,Ironwood Golem ×2,Oaken Summons ×2,Swipe ×2,Arcane Tyrant ×2,Nourish ×2,Starfall,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Ultimate Infestation ×2,,,,,,,,,,,,,"15,000"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor,Nourish ×2,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,The Lich King ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"15,000"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl,Mind Control Tech ×2,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,,"14,000"
Taunt Druid,Lesser Jasper Spellstone ×2,Wild Growth ×2,Wrath ×2,Landscaping ×2,Astral Tiger ×2,Ironwood Golem ×2,Oaken Summons ×2,Spiritsinger Umbra ★,Swipe ×2,Carnivorous Cube ×2,Guild Recruiter ×2,Nourish ×2,Malfurion the Pestilent ★,Gloop Sprayer ×2,Grizzled Guardian ×2,The Lich King ★,Ultimate Infestation,,,,,,,,,,,,,,"12,000"
Taunt Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Wrath,Ferocious Howl ×2,Witching Hour ×2,Branching Paths ×2,Ironwood Golem ×2,Oaken Summons ×2,Swipe ×2,Carnivorous Cube ×2,Nourish ×2,Primordial Drake ×2,The Lich King ★,Dragonhatcher,Hadronox ★,Master Oakheart ★,Sleepy Dragon,,,,,,,,,,,,,"11,000"
Mill Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Wrath,Ferocious Howl,Branching Paths ×2,Ironwood Golem ×2,Oaken Summons ×2,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Starfall,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Ultimate Infestation ×2,,,,,,,,,,,,"11,000"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor,Nourish ×2,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"11,000"
Malygos Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Mind Control Tech ×2,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Ultimate Infestation ×2,,,,,,,,,,,,,"10,000"
Spiteful Druid,Crystallizer,Fire Fly ×2,Glacial Shard ×2,Prince Keleseth ★,Blood Knight,Crypt Lord ×2,Greedy Sprite ×2,Mind Control Tech ×2,Void Ripper ×2,Flobbidinous Floop ★,Saronite Chain Gang ×2,Spellbreaker,Fungalmancer ×2,Giggling Inventor ×2,Tending Tauren,Malfurion the Pestilent ★,Spiteful Summoner ×2,Grand Archivist,Ultimate Infestation ×2,,,,,,,,,,,,"9,900"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Mind Control Tech,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Starfall,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"9,800"
Token Druid,Fire Fly ×2,Floop's Glorious Gloop ★,Dendrologist ×2,Knife Juggler ×2,Power of the Wild ×2,Tortollan Forager ×2,Witchwood Apple ×2,Landscaping ×2,Savage Roar ×2,Soul of the Forest ×2,Wispering Woods ×2,Force of Nature ×2,Living Mana ×2,Tending Tauren ×2,Cenarius ★,Mulchmuncher ×2,,,,,,,,,,,,,,,"9,600"
Token Druid,Lesser Jasper Spellstone,Power of the Wild,Wild Growth ×2,Savage Roar ×2,Branching Paths ×2,Flobbidinous Floop ★,Saronite Chain Gang ×2,Soul of the Forest ×2,Strongshell Scavenger ×2,Swipe ×2,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Ultimate Infestation ×2,,,,,,,,,,,,,,"9,600"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Mind Control Tech ×2,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor,Nourish ×2,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,The Lich King ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"9,100"
Token Druid,Wild Growth ×2,Savage Roar ×2,Tar Creeper ×2,Branching Paths ×2,Flobbidinous Floop ★,Saronite Chain Gang ×2,Soul of the Forest ×2,Strongshell Scavenger ×2,Swipe ×2,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Ultimate Infestation ×2,,,,,,,,,,,,,,,"9,100"
Token Druid,Lesser Jasper Spellstone ×2,Power of the Wild,Wild Growth ×2,Savage Roar ×2,Branching Paths ×2,Flobbidinous Floop ★,Saronite Chain Gang,Soul of the Forest ×2,Strongshell Scavenger,Swipe ×2,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Cenarius ★,Ultimate Infestation ×2,,,,,,,,,,,,,"8,700"
Mill Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Branching Paths ×2,Ironwood Golem ×2,Oaken Summons ×2,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor,Nourish ×2,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Ultimate Infestation ×2,,,,,,,,,,,,,"8,600"
Token Druid,Lesser Jasper Spellstone ×2,Power of the Wild ×2,Wild Growth ×2,Savage Roar ×2,Branching Paths ×2,Flobbidinous Floop ★,Saronite Chain Gang ×2,Soul of the Forest ×2,Strongshell Scavenger,Swipe ×2,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Ultimate Infestation ×2,,,,,,,,,,,,,,"7,800"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl,Mind Control Tech,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,The Lich King ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"7,600"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"7,200"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize,Wild Growth ×2,Wrath ×2,Ferocious Howl ×2,Mind Control Tech,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"7,100"
Mecha'thun Druid,Innervate ×2,Moonfire ×2,Barkskin ×2,Biology Project ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Wild Pyromancer ×2,Wrath ×2,Ferocious Howl ×2,Branching Paths ×2,Swipe ×2,Nourish ×2,Gadgetzan Auctioneer ×2,Malfurion the Pestilent ★,Mecha'thun ★,,,,,,,,,,,,,,,"7,000"
Token Druid,Floop's Glorious Gloop ★,Lesser Jasper Spellstone ×2,Wild Growth ×2,Savage Roar ×2,Branching Paths ×2,Oaken Summons ×2,Soul of the Forest ×2,Swipe ×2,Violet Teacher ×2,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Ultimate Infestation ×2,,,,,,,,,,,,,,,"7,000"
Taunt Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl,Witching Hour ×2,Branching Paths ×2,Ironwood Golem ×2,Oaken Summons ×2,Swipe ×2,Carnivorous Cube ×2,Nourish ×2,Trogg Gloomeater,Primordial Drake ×2,The Lich King ★,Dragonhatcher ×2,Hadronox ★,Master Oakheart ★,Sleepy Dragon,,,,,,,,,,,,,"6,900"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Mind Control Tech,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"6,500"
Token Druid,Lesser Jasper Spellstone ×2,Acidic Swamp Ooze,Power of the Wild ×2,Wild Growth ×2,Savage Roar ×2,Branching Paths,Flobbidinous Floop ★,Saronite Chain Gang,Soul of the Forest ×2,Strongshell Scavenger ×2,Swipe,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Ultimate Infestation ×2,,,,,,,,,,,,,"6,400"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Branching Paths,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,The Lich King ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"6,200"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Mind Control Tech,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor,Nourish ×2,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"6,200"
Malygos Druid,Innervate ×2,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Branching Paths ×2,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,,"6,100"
Token Druid,Lesser Jasper Spellstone ×2,Power of the Wild ×2,Wild Growth ×2,Savage Roar ×2,Branching Paths ×2,Oaken Summons ×2,Soul of the Forest ×2,Swipe ×2,Violet Teacher ×2,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Ultimate Infestation ×2,,,,,,,,,,,,,,,"6,000"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Giggling Inventor ×2,Nourish ×2,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,,"6,000"
Taunt Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Wrath ×2,Witching Hour ×2,Branching Paths ×2,Ironwood Golem ×2,Oaken Summons ×2,Swipe ×2,Carnivorous Cube ×2,Nourish ×2,Primordial Drake ×2,The Lich King ★,Dragonhatcher,Hadronox ★,Master Oakheart ★,Sleepy Dragon,Ultimate Infestation,,,,,,,,,,,,,"6,000"
Token Druid,Lesser Jasper Spellstone ×2,Naturalize,Power of the Wild ×2,Wild Growth ×2,Savage Roar ×2,Branching Paths ×2,Oaken Summons,Soul of the Forest ×2,Swipe ×2,Violet Teacher ×2,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Ultimate Infestation ×2,,,,,,,,,,,,,,"5,900"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Bloodmage Thalnos ★,Wild Growth ×2,Wrath,Ferocious Howl ×2,Branching Paths,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Starfall,Spreading Plague ×2,Malfurion the Pestilent ★,The Lich King ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,"5,800"
Mill Druid,Innervate ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Wrath ×2,Ferocious Howl ×2,Mind Control Tech,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Arcane Tyrant,Giggling Inventor,Nourish ×2,Spreading Plague ×2,Azalina Soulthief ★,Dreampetal Florist,Malfurion the Pestilent ★,King Togwaggle ★,Ultimate Infestation ×2,,,,,,,,,,,,"5,600"
Token Druid,Innervate,Lesser Jasper Spellstone ×2,Power of the Wild ×2,Wild Growth ×2,Savage Roar ×2,Branching Paths ×2,Oaken Summons,Soul of the Forest ×2,Swipe ×2,Violet Teacher ×2,Wispering Woods ×2,Arcane Tyrant ×2,Giggling Inventor,Nourish ×2,Spreading Plague ×2,Malfurion the Pestilent ★,Ultimate Infestation ×2,,,,,,,,,,,,,,"5,500"
Taunt Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Wrath,Witching Hour ×2,Branching Paths ×2,Ironwood Golem ×2,Oaken Summons ×2,Swipe ×2,Carnivorous Cube ×2,Nourish ×2,Trogg Gloomeater,Primordial Drake ×2,The Lich King ★,Dragonhatcher ×2,Hadronox ★,Master Oakheart ★,Sleepy Dragon,,,,,,,,,,,,,"5,400"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl ×2,Mind Control Tech,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,The Lich King ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"5,300"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize,Wild Growth ×2,Wrath,Ferocious Howl ×2,Mind Control Tech ×2,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,,"5,300"
Taunt Druid,Lesser Jasper Spellstone ×2,Naturalize ×2,Wild Growth ×2,Ferocious Howl,Witching Hour ×2,Branching Paths ×2,Ironwood Golem ×2,Oaken Summons ×2,Swipe ×2,Carnivorous Cube ×2,Nourish ×2,Primordial Drake ×2,The Lich King ★,Dragonhatcher ×2,Hadronox ★,Master Oakheart ★,Sleepy Dragon ×2,,,,,,,,,,,,,,"5,200"
Malygos Druid,Moonfire ×2,Lesser Jasper Spellstone ×2,Naturalize,Wild Growth ×2,Wrath,Ferocious Howl ×2,Mind Control Tech,Branching Paths ×2,Flobbidinous Floop ★,Swipe ×2,Twig of the World Tree ★,Arcane Tyrant ×2,Nourish ×2,Starfall,Spreading Plague ×2,Dreampetal Florist,Malfurion the Pestilent ★,Alexstrasza ★,Malygos ★,Ultimate Infestation ×2,,,,,,,,,,,"5,200"
