,Mana,DBFLD,Name,Rarity,Card Set,Class,N,G,W1,W2,Type,Tribe,ATK,HP,Card Text,Keywords,Format,Tier List,,#Rarity,#Collection,#Class,(N) P-Total,(N) U-Total,(N) Gold,Missing,Use W1?,Use W2?,1-W1,1-W2,W-Total,(G) P-Total,(G) U-Total,(G) Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,50432,Demonic Project,Common,Boomsday,Warlock,2,1,80%,80%,Spell,,,,Each player transforms a random minion in their hand into a Demon.,,Standard,FALSE,,1,14,8,2,1,0,0,FALSE,FALSE,20%,20%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48051,Elementary Reaction,Common,Boomsday,Shaman,2,1,35%,35%,Spell,,,,Draw a card. Copy it if you played an Elemental last turn.,,Standard,FALSE,,1,14,7,2,1,50,0,FALSE,FALSE,65%,65%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48480,Lab Recruiter,Common,Boomsday,Rogue,2,0,40%,40%,Minion,,3,2,Battlecry: Shuffle 3 copies of a friendly minion into your deck.,Battlecry,Standard,FALSE,,1,14,6,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,49162,Menacing Nimbus,Common,Boomsday,Shaman,2,0,45%,45%,Minion,Elemental,2,2,Battlecry: Add a random Elemental to your hand.,Battlecry,Standard,FALSE,,1,14,7,2,1,0,0,FALSE,FALSE,55%,55%,2,0,1,0,,,"Most of the cells are hidden to simplify viewing.  To see more advanced information like individually weighting cards, card sub-type, Attack, HP, Card Text, etc, click the arrows after the ""I"" Column to expand that information.   To see the formulas and cells used for data collection, expand the Column after ""R"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48692,Research Project,Common,Boomsday,Mage,2,1,40%,40%,Spell,,,,Each player draws 2 cards.,,Standard,FALSE,,1,14,3,2,1,50,0,FALSE,FALSE,60%,60%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,47925,Rocket Boots,Common,Boomsday,Warrior,2,1,10%,10%,Spell,,,,Give a minion Rush. Draw a card.,,Standard,FALSE,,1,14,9,2,1,50,0,FALSE,FALSE,90%,90%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48113,Spirit Bomb,Common,Boomsday,Warlock,2,0,55%,55%,Spell,,,,Deal 4 damage to a minion and your hero.,,Standard,FALSE,,1,14,8,2,1,0,0,FALSE,FALSE,45%,45%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48034,Toxicologist,Common,Boomsday,Neutral,2,0,40%,40%,Minion,,2,2,Battlecry: Give your weapon +1 Attack.,Battlecry,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48529,Upgradeable Framebot,Common,Boomsday,Neutral,2,1,35%,35%,Minion,Mech,1,5,,,Standard,FALSE,,1,14,10,2,1,50,0,FALSE,FALSE,65%,65%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,47842,Venomizer,Common,Boomsday,Hunter,2,2,35%,35%,Minion,Mech,2,2,Magnetic Poisonous,Magnetic; Poisonous,Standard,FALSE,,1,14,2,2,1,100,0,FALSE,FALSE,65%,65%,2,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,47860,Weapons Project,Common,Boomsday,Warrior,2,0,45%,45%,Spell,,,,Each player equips a 2/3 Weapon and gains 6 Armor.,,Standard,FALSE,,1,14,9,2,1,0,0,FALSE,FALSE,55%,55%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48700,Whirliglider,Common,Boomsday,Neutral,2,0,35%,35%,Minion,,2,1,Battlecry: Summon a 0/2 Goblin Bomb.,Battlecry,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,Total Card Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,48544,Brainstormer,Common,Boomsday,Neutral,2,0,10%,10%,Minion,,3,1,Battlecry: Gain +1 Health for each spell in your hand.,Battlecry,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,90%,90%,2,0,1,0,,,Type,Wild,,Standard,,Classic,,Promo,,Naxx,,GvG,,BRM,,TGT,,LoE,,TOG,,Kara,,MSG,,UG,,KFT,,KnC,,Woods,,Boomsday,,WI 18,
,3,47781,Bronze Gatekeeper,Common,Boomsday,Neutral,2,0,35%,35%,Minion,Mech,1,5,Magnetic Taunt,Magnetic; Taunt,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,Playable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,48116,Doubling Imp,Common,Boomsday,Warlock,2,0,75%,75%,Minion,Demon,2,2,Battlecry: Summon a copy of this minion.,Battlecry,Standard,FALSE,,1,14,8,2,1,0,0,FALSE,FALSE,25%,25%,2,0,1,0,,,Basic,266,266,266,266,266,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,49188,Electrowright,Common,Boomsday,Neutral,2,0,15%,15%,Minion,,3,3,"Battlecry: If you're holding a spell that costs (5) or more, gain +1/+1.",Battlecry,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,85%,85%,2,0,1,0,,,Common,1222,1230,672,678,182,188,6,6,36,36,80,80,30,30,96,98,50,50,100,100,54,54,98,98,98,98,98,98,98,98,98,98,98,98,0,0
,3,49279,Kaboom Bot,Common,Boomsday,Neutral,2,0,10%,10%,Minion,Mech,2,2,Deathrattle: Deal 4 damage to a random enemy minion.,Deathrattle,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,90%,90%,2,0,1,0,,,Rare,885,892,516,518,157,158,4,4,8,8,72,74,22,22,71,72,26,26,72,72,24,24,70,72,72,72,71,72,72,72,72,72,72,72,0,0
,3,48607,Landscaping,Common,Boomsday,Druid,2,0,35%,35%,Spell,,,,Summon two 2/2 Treants.,,Standard,FALSE,,1,14,1,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,Epic,474,572,276,342,67,72,6,6,4,4,49,52,0,0,47,54,2,4,46,54,2,2,42,54,41,54,42,54,41,54,42,54,43,54,0,0
,3,49164,Microtech Controller,Common,Boomsday,Neutral,2,0,20%,20%,Minion,,2,1,Battlecry: Summon two 1/1 Microbots.,Battlecry,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,80%,80%,2,0,1,0,,,Legendary,204,253,116,146,30,31,4,5,6,6,14,20,5,5,16,20,5,5,18,21,5,5,15,20,15,23,20,23,20,23,18,23,13,23,0,0
,3,48505,Spring Rocket,Common,Boomsday,Neutral,2,0,20%,20%,Minion,Mech,2,1,Battlecry: Deal 2 damage.,Battlecry,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,80%,80%,2,0,1,0,,,Total,3051,3213,1846,1950,702,715,20,21,54,54,215,226,57,57,230,244,83,85,236,247,85,85,225,244,226,247,231,247,231,247,230,247,226,247,0,0
,3,48035,Violet Haze,Common,Boomsday,Rogue,2,0,15%,15%,Spell,,,,Add 2 random Deathrattle cards to your hand.,,Standard,FALSE,,1,14,6,2,1,0,0,FALSE,FALSE,85%,85%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,49233,Coppertail Imposter,Common,Boomsday,Neutral,2,0,35%,35%,Minion,Mech,4,4,Battlecry: Gain Stealth until your next turn.,Battlecry,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,Druid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,49045,Cosmic Anomaly,Common,Boomsday,Mage,2,1,55%,55%,Minion,Elemental,4,3,Spell Damage +2,Spell Damage,Standard,FALSE,,1,14,3,2,1,50,0,FALSE,FALSE,45%,45%,2,1,1,5,,,Type,Wild,,Standard,,Classic,,Promo,,Naxx,,GvG,,BRM,,TGT,,LoE,,TOG,,Kara,,MSG,,UG,,KFT,,KnC,,Woods,,Boomsday,,WI 18,
,4,49161,Explodinator,Common,Boomsday,Neutral,2,1,15%,15%,Minion,Mech,3,2,Battlecry: Summon two 0/2 Goblin Bombs.,Battlecry,Standard,FALSE,,1,14,10,2,1,50,0,FALSE,FALSE,85%,85%,2,1,1,5,,,Playable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,48223,Piloted Reaper,Common,Boomsday,Neutral,2,0,20%,20%,Minion,Mech,4,3,Deathrattle: Summon a random minion from your hand that costs (2) or less.,Deathrattle,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,80%,80%,2,0,1,0,,,Basic,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,48890,Steel Rager,Common,Boomsday,Neutral,2,2,15%,15%,Minion,Mech,5,1,Rush,Rush,Standard,FALSE,,1,14,10,2,1,100,0,FALSE,FALSE,85%,85%,2,2,1,10,,,Common,76,76,42,42,12,12,0,0,2,2,4,4,2,2,6,6,4,4,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,0,0
,5,49494,Crazed Chemist,Common,Boomsday,Rogue,2,0,35%,35%,Minion,,4,4,Combo: Give a friendly minion +4 Attack.,Combo,Standard,FALSE,,1,14,6,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,Rare,69,70,39,40,9,10,0,0,0,0,6,6,2,2,6,6,2,2,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,0,0
,5,49169,Mechano-Egg,Common,Boomsday,Paladin,2,0,35%,35%,Minion,Mech,0,5,Deathrattle: Summon an 8/8 Robosaur.,Deathrattle,Standard,FALSE,,1,14,4,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,Epic,35,42,21,26,5,6,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,2,4,3,4,4,4,4,4,2,4,3,4,0,0
,5,47888,Rusty Recycler,Common,Boomsday,Neutral,2,0,35%,35%,Minion,Mech,2,6,Taunt Lifesteal,Lifesteal; Taunt,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,Legendary,13,15,9,11,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,2,2,2,2,2,1,2,2,2,0,0
,5,49356,Wargear,Common,Boomsday,Neutral,2,0,45%,45%,Minion,Mech,5,5,Magnetic,Magnetic,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,55%,55%,2,0,1,0,,,Total,213,223,131,139,47,49,0,0,2,2,15,15,4,4,17,17,6,6,17,17,6,6,15,17,16,18,18,18,18,18,15,18,17,18,0,0
,6,49019,Damaged Stegotron,Common,Boomsday,Neutral,2,1,40%,40%,Minion,Mech,5,12,Taunt Battlecry: Deal 6 damage to this minion.,Battlecry; Taunt,Standard,FALSE,,1,14,10,2,1,50,0,FALSE,FALSE,60%,60%,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,48744,Gloop Sprayer,Common,Boomsday,Druid,2,1,40%,40%,Minion,,4,4,Battlecry: Summon a copy of each adjacent minion.,Battlecry,Standard,FALSE,,1,14,1,2,1,50,0,FALSE,FALSE,60%,60%,2,1,1,5,,,Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,49163,Bull Dozer,Common,Boomsday,Neutral,2,0,38%,38%,Minion,Mech,9,7,Divine Shield,Divine Shield,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,62%,62%,2,0,1,0,,,Type,Wild,,Standard,,Classic,,Promo,,Naxx,,GvG,,BRM,,TGT,,LoE,,TOG,,Kara,,MSG,,UG,,KFT,,KnC,,Woods,,Boomsday,,WI 18,
,1,48515,Omega Assembly,Rare,Boomsday,Warrior,2,0,70%,70%,Spell,,,,"Discover a Mech. If you have 10 Mana Crystals, keep all 3 cards.",Discover,Standard,FALSE,,2,14,9,2,1,0,0,FALSE,FALSE,30%,30%,2,0,1,0,,,Playable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,48211,Soul Infusion,Rare,Boomsday,Warlock,2,1,65%,65%,Spell,,,,Give the left-most minion in your hand +2/+2.,,Standard,FALSE,,2,14,8,2,1,100,0,FALSE,FALSE,35%,35%,2,1,1,20,,,Basic,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,49265,Test Subject,Rare,Boomsday,Priest,2,0,38%,38%,Minion,,0,2,Deathrattle: Return any spells you cast on this minion to your hand.,Deathrattle,Standard,FALSE,,2,14,5,2,1,0,0,FALSE,FALSE,62%,62%,2,0,1,0,,,Common,76,76,42,42,12,12,0,0,2,2,4,4,2,2,6,6,4,4,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,0,0
,1,49052,Voltaic Burst,Rare,Boomsday,Shaman,2,0,20%,20%,Spell,,,,Summon two 1/1 Sparks with Rush. Overload: (1),Overload,Standard,FALSE,,2,14,7,2,1,0,0,FALSE,FALSE,80%,80%,2,0,1,0,,,Rare,69,70,39,40,10,10,0,0,0,0,6,6,2,2,6,6,2,2,6,6,2,2,6,6,6,6,5,6,6,6,6,6,6,6,0,0
,2,47978,Astral Rift,Rare,Boomsday,Mage,2,0,15%,15%,Spell,,,,Add 2 random minions to your hand.,,Standard,FALSE,,2,14,3,2,1,0,0,FALSE,FALSE,85%,85%,2,0,1,0,,,Epic,28,42,16,26,6,6,0,0,0,0,4,4,0,0,4,4,0,0,1,4,0,0,3,4,2,4,3,4,1,4,1,4,3,4,0,0
,2,49263,Celestial Emissary,Rare,Boomsday,Mage,2,0,40%,40%,Minion,Elemental,2,1,Battlecry: Your next spell this turn has Spell Damage +2.,Battlecry,Standard,FALSE,,2,14,3,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,Legendary,12,16,9,11,1,1,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,1,1,2,2,2,2,2,2,1,2,1,2,0,0
,2,48985,Crystology,Rare,Boomsday,Paladin,2,1,35%,35%,Spell,,,,Draw two 1-Attack minions from your deck.,,Standard,FALSE,,2,14,4,2,1,100,0,FALSE,FALSE,65%,65%,2,1,1,20,,,Total,205,224,126,139,49,49,0,0,2,2,14,15,4,4,18,18,6,6,13,17,6,6,16,17,16,18,16,18,15,18,14,18,16,18,0,0
,2,48772,Cybertech Chip,Rare,Boomsday,Hunter,2,0,30%,30%,Spell,,,,"Give your minions ""Deathrattle: Add a random Mech to your hand.""",,Standard,FALSE,,2,14,2,2,1,0,0,FALSE,FALSE,70%,70%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,49621,Dendrologist,Rare,Boomsday,Druid,2,0,15%,15%,Minion,,2,3,"Battlecry: If you control a Treant, Discover a spell.",Battlecry,Standard,FALSE,,2,14,1,2,1,0,0,FALSE,FALSE,85%,85%,2,0,1,0,,,Mage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,47855,Fireworks Tech,Rare,Boomsday,Hunter,2,2,35%,35%,Minion,,2,1,"Battlecry: Give a friendly Mech +1/+1. If it has Deathrattle, trigger it.",Battlecry,Standard,FALSE,,2,14,2,2,1,200,0,FALSE,FALSE,65%,65%,2,2,1,40,,,Type,Wild,,Standard,,Classic,,Promo,,Naxx,,GvG,,BRM,,TGT,,LoE,,TOG,,Kara,,MSG,,UG,,KFT,,KnC,,Woods,,Boomsday,,WI 18,
,2,48983,Galvanizer,Rare,Boomsday,Neutral,2,0,30%,30%,Minion,Mech,1,2,Battlecry: Reduce the Cost of Mechs in your hand by (1).,Battlecry,Standard,FALSE,,2,14,10,2,1,0,0,FALSE,FALSE,70%,70%,2,0,1,0,,,Playable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48471,Pogo-Hopper,Rare,Boomsday,Rogue,2,0,20%,20%,Minion,Mech,1,1,Battlecry: Gain +2/+2 for each other Pogo-Hopper you played this game.,Battlecry,Standard,FALSE,,2,14,6,2,1,0,0,FALSE,FALSE,80%,80%,2,0,1,0,,,Basic,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,49170,Spark Engine,Rare,Boomsday,Neutral,2,1,20%,20%,Minion,Mech,2,1,Battlecry: Add a  1/1 Spark with Rush to your hand.,Battlecry,Standard,FALSE,,2,14,10,2,1,100,0,FALSE,FALSE,80%,80%,2,1,1,20,,,Common,76,78,40,42,10,12,2,2,2,2,4,4,2,2,6,6,4,4,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,0,0
,2,48060,Unpowered Mauler,Rare,Boomsday,Neutral,2,0,15%,15%,Minion,Mech,2,4,Can only attack if you cast a spell this turn.,,Standard,FALSE,,2,14,10,2,1,0,0,FALSE,FALSE,85%,85%,2,0,1,0,,,Rare,70,70,40,40,10,10,0,0,0,0,6,6,2,2,6,6,2,2,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,0,0
,2,48835,Void Analyst,Rare,Boomsday,Warlock,2,0,25%,25%,Minion,Demon,2,2,Deathrattle: Give all Demons in your hand +1/+1.,Deathrattle,Standard,FALSE,,2,14,8,2,1,0,0,FALSE,FALSE,75%,75%,2,0,1,0,,,Epic,35,44,19,26,4,6,2,2,0,0,4,4,0,0,4,4,0,0,3,4,0,0,3,4,4,4,3,4,2,4,3,4,3,4,0,0
,3,48101,Extra Arms,Rare,Boomsday,Priest,2,0,20%,20%,Spell,,,,Give a minion +2/+2. Add 'More Arms!' to your hand that gives +2/+2.,,Standard,FALSE,,2,14,5,2,1,0,0,FALSE,FALSE,80%,80%,2,0,1,0,,,Legendary,9,15,8,11,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,2,2,2,2,2,2,2,0,2,0,0
,3,48478,Necrium Blade,Rare,Boomsday,Rogue,2,0,45%,45%,Weapon,,3,,Deathrattle: Trigger the Deathrattle of a random friendly minion.,Deathrattle,Standard,FALSE,,2,14,6,2,1,0,0,FALSE,FALSE,55%,55%,2,0,1,0,,,Total,210,227,127,139,45,49,4,4,2,2,14,15,4,4,17,17,6,6,15,17,6,6,15,17,17,18,17,18,16,18,17,18,15,18,0,0
,3,48298,Nethersoul Buster,Rare,Boomsday,Warlock,2,0,30%,30%,Minion,Demon,1,5,Battlecry: Gain +1 Attack for each damage your hero has taken this turn.,Battlecry,Standard,FALSE,,2,14,8,2,1,0,0,FALSE,FALSE,70%,70%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,48099,Omega Medic,Rare,Boomsday,Priest,2,0,30%,30%,Minion,,3,4,"Battlecry: If you have 10 Mana Crystals, restore 10 Health to your hero.",Battlecry,Standard,FALSE,,2,14,5,2,1,0,0,FALSE,FALSE,70%,70%,2,0,1,0,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,48185,Spider Bomb,Rare,Boomsday,Hunter,2,0,55%,55%,Minion,Mech,2,2,Magnetic Deathrattle: Destroy a random enemy minion.,Deathrattle; Magnetic,Standard,FALSE,,2,14,2,2,1,0,0,FALSE,FALSE,45%,45%,2,0,1,0,,,Type,Wild,,Standard,,Classic,,Promo,,Naxx,,GvG,,BRM,,TGT,,LoE,,TOG,,Kara,,MSG,,UG,,KFT,,KnC,,Woods,,Boomsday,,WI 18,
,4,48993,Annoy-o-Module,Rare,Boomsday,Paladin,2,1,39%,39%,Minion,Mech,2,4,Magnetic Divine Shield Taunt,Divine Shield; Magnetic; Taunt,Standard,FALSE,,2,14,4,2,1,100,0,FALSE,FALSE,61%,61%,2,1,1,20,,,Playable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,49361,Blightnozzle Crawler,Rare,Boomsday,Rogue,2,0,45%,45%,Minion,Mech,2,4,Deathrattle: Summon a 1/1 Ooze with Poisonous and Rush.,Deathrattle,Standard,FALSE,,2,14,6,2,1,0,0,FALSE,FALSE,55%,55%,2,0,1,0,,,Basic,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,48536,Replicating Menace,Rare,Boomsday,Neutral,2,0,35%,35%,Minion,Mech,3,1,Magnetic Deathrattle: Summon three 1/1 Microbots.,Deathrattle; Magnetic,Standard,FALSE,,2,14,10,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,Common,76,76,42,42,12,12,0,0,2,2,4,4,2,2,6,6,4,4,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,0,0
,4,48490,Storm Chaser,Rare,Boomsday,Shaman,2,1,45%,45%,Minion,Elemental,3,4,Battlecry: Draw a spell from your deck that costs (5) or more.,Battlecry,Standard,FALSE,,2,14,7,2,1,100,0,FALSE,FALSE,55%,55%,2,1,1,20,,,Rare,70,70,40,40,10,10,0,0,0,0,6,6,2,2,6,6,2,2,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,0,0
